Duty No.,Board No.,Sign ON,Stop ON,Time ON,Time OFF,Stop OFF,Sign OFF,Paid Time,Spread Time,Service
0539,"S146
S134","16:15
20:39","StinL
STDEP PK","16:21
20:41","19:59
24:52","STDEP PK
ST","20:00
24:57",08:12,08:42,330
0540,"S805
Relief car 2
S124","16:03
20:36
20:41","StinL
ST
aa","16:09
20:38
20:41","19:51
20:41
24:48","ST
aa
ST","19:52
20:41
24:53",08:20,08:50,"330
Relief Vehicle
192"
0541,"S151
Relief car 1
S137P","15:49
21:11
21:16","StinH
ST
aa","15:55
21:13
21:16","20:30
21:16
24:38","ST
aa
ST","20:31
21:16
24:43",08:24,08:54,314
0541,"S151
Relief car 1
S137P","15:49
21:11
21:16","StinH
ST
aa","15:55
21:13
21:16","20:30
21:16
24:38","ST
aa
ST","20:31
21:16
24:43",08:24,08:54,"374
Relief Vehicle
192"
0542,"S109
S109","15:53
19:36","bb
STDEP PK","16:02
19:38","18:50
24:45","STDEP PK
ST","18:51
24:50",08:27,08:57,"192
25"
0542,"S109
S109","15:53
19:36","bb
STDEP PK","16:02
19:38","18:50
24:45","STDEP PK
ST","18:51
24:50",08:27,08:57,325
0542,"S109
S109","15:53
19:36","bb
STDEP PK","16:02
19:38","18:50
24:45","STDEP PK
ST","18:51
24:50",08:27,08:57,11
0581,"S802
S142P","17:19
20:19","StinL
STDEP PK","17:25
20:21","19:32
25:22","ST
ST","19:33
25:27",07:38,08:08,"330
11"
0581,"S802
S142P","17:19
20:19","StinL
STDEP PK","17:25
20:21","19:32
25:22","ST
ST","19:33
25:27",07:38,08:08,327
0581,"S802
S142P","17:19
20:19","StinL
STDEP PK","17:25
20:21","19:32
25:22","ST
ST","19:33
25:27",07:38,08:08,330
0582,"S234
S103","16:54
21:04","StinR
STDEP PK","17:00
21:06","20:21
25:13","ST
ST","20:22
25:18",07:54,08:24,"11
23"
0582,"S234
S103","16:54
21:04","StinR
STDEP PK","17:00
21:06","20:21
25:13","ST
ST","20:22
25:18",07:54,08:24,330
0851,NIGHT,23:00,ST,23:02,31:01,ST,31:06,07:36,08:06,
0852,NIGHT,23:00,ST,23:02,31:01,ST,31:06,07:36,08:06,
0861,PAPER,03:30,ST,03:32,07:07,ST,07:12,03:42,03:42,
0862,S851,05:00,ST,05:00,13:54,ST,13:59,08:29,08:59,T-bird
0863,S852,13:54,ST,13:54,22:00,ST,22:00,07:36,08:06,T-bird
