Duty No.,Board No.,Sign ON,Stop ON,Time ON,Time OFF,Stop OFF,Sign OFF,Paid Time,Spread Time,Service
0065,"S248A
S152","06:09
10:21","ST
StinH","06:21
10:25","09:42
14:55","ST
StinH","09:43
15:04",08:25,08:55,"384
314"
0066,"S241
S223","05:39
10:21","ST
StinJ","05:51
10:25","09:40
14:25","StinR
StinJ","09:44
14:34",08:25,08:55,197
0066,"S241
S223","05:39
10:21","ST
StinJ","05:51
10:25","09:40
14:25","StinR
StinJ","09:44
14:34",08:25,08:55,"384
322"
0067,"S122
S255","05:54
10:06","ST
StinP","06:06
10:10","09:18
14:40","bb
StinP","09:25
14:49",08:25,08:55,"192
379"
0067,"S122
S255","05:54
10:06","ST
StinP","06:06
10:10","09:18
14:40","bb
StinP","09:25
14:49",08:25,08:55,378
0068,"S109
S235","06:14
11:16","ST
StinR","06:26
11:20","10:18
15:00","aa
StinR","10:25
15:09",08:25,08:55,314
0068,"S109
S235","06:14
11:16","ST
StinR","06:26
11:20","10:18
15:00","aa
StinR","10:25
15:09",08:25,08:55,192
0068,"S109
S235","06:14
11:16","ST
StinR","06:26
11:20","10:18
15:00","aa
StinR","10:25
15:09",08:25,08:55,"191
11"
0069,"S140A
S144","06:33
10:29","ST
StinL","06:45
10:33","09:46
15:21","ST
StinL","09:47
15:30",08:27,08:57,"192
330"
0070,"S249A
S209","06:19
10:03","ST
StinD","06:31
10:07","09:17
15:07","ST
StinD","09:18
15:16",08:27,08:57,384
0070,"S249A
S209","06:19
10:03","ST
StinD","06:31
10:07","09:17
15:07","ST
StinD","09:18
15:16",08:27,08:57,"191
25"
0071,"S131
S304","04:47
10:11","ST
StinM","04:59
10:15","09:31
13:35","STDEP PK
StinM","09:32
13:44",08:27,08:57,"192
325"
0072,"S252A
S133","06:09
10:00","ST
STDEP PK","06:21
10:02","09:21
14:54","ST
aa","09:22
15:06",08:27,08:57,"312
192"
0073,"S202
S112","05:30
10:41","ST
aa","05:42
10:48","10:00
14:15","StinB
bb","10:04
14:27",08:27,08:57,"23
192"
0074,"S213
S230","06:46
12:49","ST
STDEP PK","06:58
12:51","11:59
15:37","STDEP PK
STDEP PK","12:00
15:42",08:26,08:56,"25
384"
0075,"S808
S125","05:47
10:26","ST
aa","05:59
10:33","09:45
14:32","StinL
aa","09:49
14:44",08:27,08:57,"330
192"
0076,"S232
S114","05:57
11:51","ST
bb","06:09
11:58","10:50
14:42","StinK
aa","10:54
14:54",08:27,08:57,11
0076,"S232
S114","05:57
11:51","ST
bb","06:09
11:58","10:50
14:42","StinK
aa","10:54
14:54",08:27,08:57,"384
192"
0077,"S137A
S253","06:51
11:26","ST
StinN","07:03
11:30","10:41
15:40","ST
StinN","10:42
15:49",08:28,08:58,"192
358"
0078,"S216
S102","05:59
11:11","ST
aa","06:11
11:18","10:30
14:45","StinC
bb","10:34
14:57",08:28,08:58,"197
192"
0079,"S101
S122","06:34
11:56","ST
aa","06:46
12:03","11:08
15:20","aa
bb","11:15
15:32",08:28,08:58,191
0079,"S101
S122","06:34
11:56","ST
aa","06:46
12:03","11:08
15:20","aa
bb","11:15
15:32",08:28,08:58,"192
192"
0080,"S807
S227","05:30
10:16","ST
StinK","05:42
10:20","09:33
14:20","StinL
StinK","09:37
14:29",08:29,08:59,"330
383"
0081,"S104
S226","06:30
12:36","ST
StinK","06:42
12:40","11:38
15:20","aa
StinK","11:45
15:29",08:29,08:59,"192
383"
0101,"S117
S204","08:58
13:16","aa
StinB","09:07
13:20","12:28
16:20","bb
StinB","12:35
16:29",07:01,07:31,"192
23"
0102,"S238
S210","08:29
13:03","ST
StinD","08:41
13:07","12:20
16:00","StinR
StinB","12:24
16:09",07:10,07:40,"11
25"
0102,"S238
S210","08:29
13:03","ST
StinD","08:41
13:07","12:20
16:00","StinR
StinB","12:24
16:09",07:10,07:40,23
0103,"S221
S151","08:14
13:36","StinP
StinH","08:20
13:40","12:50
15:55","StinP
StinH","12:54
16:04",07:20,07:50,"312
314"
0104,"S115
S146","08:34
13:41","aa
StinL","08:43
13:45","12:53
16:21","aa
StinL","13:00
16:30",07:26,07:56,"192
330"
0105,"S207
S117","08:49
12:21","StinB
bb","08:55
12:28","11:40
16:41","StinB
bb","11:44
16:53",07:34,08:04,"23
192"
